Year,Month,Date,Model,Dealer ID,Quantity Sold,Profit
2019,January,2019-01-01 23:00:00,Toyota Tacoma,1402,3,8200.0
2019,January,2019-01-01 23:00:00,Jeep Wrangler,1402,1,4700.0
2019,January,2019-01-01 23:00:00,Ford Escape,1402,23,77800.0
2019,January,2019-01-01 23:00:00,Ford F-150,1402,19,68800.0
2019,January,2019-01-01 23:00:00,Toyota Highlander,1402,25,150900.0
2019,January,2019-01-01 23:00:00,BMW X5,1402,11,63500.0
2019,January,2019-01-01 23:00:00,Mercedes GLE,1402,25,168800.0
2019,January,2019-01-01 23:00:00,Toyota Corolla,1402,4,8500.0
2019,January,2019-01-01 23:00:00,Dodge Charger,1215,21,98600.0
2019,January,2019-01-01 23:00:00,Jeep Grand Cherokee,1215,19,59800.0
2019,January,2019-01-01 23:00:00,BMW X3,1215,22,85800.0
2019,January,2019-01-01 23:00:00,Nissan Rogue,1215,3,14000.0
2019,January,2019-01-01 23:00:00,Honda Accord,1215,13,32500.0
2019,January,2019-01-01 23:00:00,BMW X5,1215,12,57200.0
2019,January,2019-01-01 23:00:00,Chevrolet Silverado,1336,21,125900.0
2019,January,2019-01-01 23:00:00,Mazda CX-5,1336,11,52700.0
2019,January,2019-01-01 23:00:00,Hyundai Santa Fe,1336,8,42700.0
2019,January,2019-01-01 23:00:00,Mercedes GLC,1336,13,60600.0
2019,January,2019-01-01 23:00:00,Ford F-150,1336,19,130800.0
2019,January,2019-01-01 23:00:00,Jeep Grand Cherokee,1336,21,101300.0
2019,January,2019-01-01 23:00:00,Honda Accord,1336,21,66800.0
2019,January,2019-01-01 23:00:00,Nissan Altima,1336,8,29400.0
2019,January,2019-01-01 23:00:00,Mercedes E-Class,1301,21,95200.0
2019,January,2019-01-01 23:00:00,Subaru Outback,1301,20,35000.0
2019,January,2019-01-01 23:00:00,Honda Civic,1301,15,42800.0
2019,January,2019-01-01 23:00:00,Ford Mustang,1301,1,4400.0
2019,January,2019-01-01 23:00:00,Nissan Altima,1301,18,66400.0
2019,January,2019-01-01 23:00:00,BMW 5 Series,1301,11,41200.0
2019,January,2019-01-01 23:00:00,Toyota Highlander,1301,15,29500.0
2019,January,2019-01-01 23:00:00,Toyota RAV4,1301,24,64700.0
2019,January,2019-01-01 23:00:00,Toyota Tacoma,1301,6,24400.0
2019,January,2019-01-01 23:00:00,Chevrolet Silverado,1401,11,53700.0
2019,January,2019-01-01 23:00:00,Hyundai Santa Fe,1401,12,67000.0
2019,January,2019-01-01 23:00:00,Mercedes GLC,1401,10,44600.0
2019,January,2019-01-01 23:00:00,Ford F-150,1401,19,138100.0
2019,January,2019-01-01 23:00:00,Jeep Wrangler,1401,16,94900.0
2019,January,2019-01-01 23:00:00,BMW X5,1401,18,180400.0
2019,January,2019-01-01 23:00:00,RAM 1500,1401,16,121900.0
2019,January,2019-01-01 23:00:00,BMW X3,1401,17,136100.0
2019,January,2019-01-01 23:00:00,Toyota Camry,1401,7,32300.0
2019,January,2019-01-01 23:00:00,Ford Explorer,1217,19,85800.0
2019,January,2019-01-01 23:00:00,Chevrolet Equinox,1217,1,1700.0
2019,January,2019-01-01 23:00:00,Nissan Altima,1217,-8,11800.0
2019,January,2019-01-01 23:00:00,Hyundai Santa Fe,1217,11,22100.0
2019,January,2019-01-01 23:00:00,Honda CR-V,1217,22,77100.0
2019,January,2019-01-01 23:00:00,BMW X3,1217,24,201800.0
2019,January,2019-01-01 23:00:00,Toyota Tacoma,1217,16,45700.0
2019,January,2019-01-01 23:00:00,Ford Bronco,1217,14,37700.0
2019,January,2019-01-01 23:00:00,Chevrolet Tahoe,1217,14,76700.0
2019,January,2019-01-01 23:00:00,Jeep Grand Cherokee,1288,14,43400.0
